tellimuse_nr,kuupaev,kliendi_id,kliendi_nimi,kliendi_linn,kliendityyp,toote_nimi,kategooria,tootemark,kampaania_nimi,kampaania_tyyp,liiklusallikas,makseviis,kogus,uhikuhind,muugisumma
1016,2025-09-01,9,Irina Kivi,Viljandi,Regular,Apelsin,Puuvili,TropicBest,Avanadala pakkumine,retargeting,google_ads,Pangalink,4,2.0,8.0
1016,2025-09-01,9,Irina Kivi,Viljandi,Regular,Croissant,Pagaritoode,LaLorraine,Avanadala pakkumine,retargeting,google_ads,Pangalink,3,1.2,3.6
1029,2025-09-01,13,Mari Sepp,Tallinn,VIP,Croissant,Pagaritoode,LaLorraine,Uudiskirja soodustus,uudiskiri,uudiskiri,Mobiilimakse,8,1.2,9.6
1029,2025-09-01,13,Mari Sepp,Tallinn,VIP,Mineraalvesi 1L,Jook,Vichy,Uudiskirja soodustus,uudiskiri,uudiskiri,Mobiilimakse,3,0.8,2.4
1029,2025-09-01,13,Mari Sepp,Tallinn,VIP,Kommid assortii,Maiustus,Kalev,Uudiskirja soodustus,uudiskiri,uudiskiri,Mobiilimakse,4,3.5,14.0
1164,2025-09-01,12,Lauri Ots,Narva,Regular,Kohv filtri 500g,Jook,Paulig,Uudiskirja soodustus,uudiskiri,uudiskiri,Kaardimakse,4,5.9,23.6
1222,2025-09-01,15,Olga Valk,Tartu,Regular,Jogurt maasika,Piimatoode,Alma,Uudiskirja soodustus,uudiskiri,uudiskiri,Kaardimakse,8,0.9,7.2
1222,2025-09-01,15,Olga Valk,Tartu,Regular,Mineraalvesi 1L,Jook,Vichy,Uudiskirja soodustus,uudiskiri,uudiskiri,Kaardimakse,1,0.8,0.8
1233,2025-09-01,10,Jaan Rebane,Tallinn,VIP,Sepik,Pagaritoode,Leibur,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,8,2.5,20.0
1233,2025-09-01,10,Jaan Rebane,Tallinn,VIP,Croissant,Pagaritoode,LaLorraine,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,3,1.2,3.6
1233,2025-09-01,10,Jaan Rebane,Tallinn,VIP,Apelsinimahl 1L,Jook,Aura,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,8,2.2,17.6
